nodename,batch,task,solution,timestamp,finished
mr-0xc11,1541261131,groupby,datatable,1541261131.93688,0
mr-0xc11,1541261131,groupby,datatable,1541284383.41275,1
mr-0xc11,1541317725,groupby,datatable,1541317726.19071,0
mr-0xc11,1541317787,groupby,dask,1541318056.70207,0
mr-0xc11,1541317787,groupby,dask,1541338361.5546,1
mr-0xc11,1541317787,groupby,datatable,1541338362.06975,0
mr-0xc11,1541317787,groupby,datatable,1541357767.424,1
mr-0xc11,1541317787,groupby,dplyr,1541357767.71701,0
mr-0xc11,1541391093,groupby,dplyr,1541391198.49171,0
mr-0xc11,1541391093,groupby,dplyr,1541411936.40954,1
mr-0xc11,1541391093,groupby,juliadf,1541411936.68796,0
mr-0xc11,1541676221,groupby,pandas,1541676340.35118,0
mr-0xc11,1541676221,groupby,pandas,1541685186.97839,1
mr-0xc11,1541676221,groupby,pydatatable,1541685187.65622,0
mr-0xc11,1541676221,groupby,pydatatable,1541690485.56523,1
mr-0xc11,1541676221,groupby,spark,1541690485.91112,0
mr-0xc11,1541676221,groupby,spark,1541703499.05803,1
